SENATOR_FULLNAME,LAST_NAME,SENATE_LINK,DISTRICT,PARTY,COUNTIES,PICTURE
"Albritton, Ben",Albritton,https://www.flsenate.gov/Senators/s26,26,Republican,"Consists of DeSoto, Glades, Hardee, Highlands, Okeechobee counties and parts of Charlotte, Lee, Polk counties",Albritton.jpg
"Baxley, Dennis",Baxley,https://www.flsenate.gov/Senators/s12,12,Republican,"Consists of Sumter county and parts of Lake, Marion counties",Baxley.jpg
"Bean, Aaron",Bean,https://www.flsenate.gov/Senators/s4,4,Republican,Consists of Nassau county and part of Duval county,Bean.jpg
"Benacquisto, Lizbeth",Benacquisto,https://www.flsenate.gov/Senators/s27,27,Republican,Consists of part of Lee county,Benacquisto.jpg
"Berman, Lori",Berman,https://www.flsenate.gov/Senators/s31,31,Democrat,Consists of part of Palm Beach county,Berman.jpg
"Book, Lauren",Book,https://www.flsenate.gov/Senators/s32,32,Democrat,Consists of part of Broward county,Book.jpg
"Bracy, Randolph",Bracy,https://www.flsenate.gov/Senators/s11,11,Democrat,Consists of part of Orange county,Bracy.jpg
"Bradley, Rob",Bradley,https://www.flsenate.gov/Senators/s5,5,Republican,"Consists of Baker, Bradford, Clay, Columbia, Dixie, Gilchrist, Lafayette, Levy, Suwannee, Union counties and part of Marion county",Bradley.jpg
"Brandes, Jeff",Brandes,https://www.flsenate.gov/Senators/s24,24,Republican,Consists of part of Pinellas county,Brandes.jpg
"Braynon, Oscar   II",Braynon,https://www.flsenate.gov/Senators/s35,35,Democrat,"Consists of parts of Broward, Miami-Dade counties",Braynon.jpg
"Broxson, Doug",Broxson,https://www.flsenate.gov/Senators/s1,1,Republican,"Consists of Escambia, Santa Rosa counties and part of Okaloosa county",Broxson.jpg
"Cruz, Janet",Cruz,https://www.flsenate.gov/Senators/s18,18,Democrat,Consists of part of Hillsborough county,Cruz.jpg
"Diaz, Manny  , Jr.",Diaz,https://www.flsenate.gov/Senators/s36,36,Republican,Consists of part of Miami-Dade county,Diaz.jpg
"Farmer, Gary M. , Jr.",Farmer,https://www.flsenate.gov/Senators/s34,34,Democrat,Consists of part of Broward county,Farmer.jpg
"Flores, Anitere",Flores,https://www.flsenate.gov/Senators/s39,39,Republican,Consists of Monroe county and part of Miami-Dade county,Flores.jpg
"Gainer, George B.",Gainer,https://www.flsenate.gov/Senators/s2,2,Republican,"Consists of Bay, Holmes, Jackson, Walton, Washington counties and part of Okaloosa county",Gainer.jpg
"Galvano, Bill",Galvano,https://www.flsenate.gov/Senators/s21,21,Republican,Consists of Manatee county and part of Hillsborough county,Galvano.jpg
"Gibson, Audrey",Gibson,https://www.flsenate.gov/Senators/s6,6,Democrat,Consists of part of Duval county,Gibson.jpg
"Gruters, Joe",Gruters,https://www.flsenate.gov/Senators/s23,23,Republican,Consists of Sarasota county and part of Charlotte county,Gruters.jpg
"Harrell, Gayle",Harrell,https://www.flsenate.gov/Senators/s25,25,Republican,"Consists of Martin, St. Lucie counties and part of Palm Beach county",Harrell.jpg
"Hooper, Ed",Hooper,https://www.flsenate.gov/Senators/s16,16,Republican,"Consists of parts of Pasco, Pinellas counties",Hooper.jpg
"Hutson, Travis",Hutson,https://www.flsenate.gov/Senators/s7,7,Republican,"Consists of Flagler, St. Johns counties and part of Volusia county",Hutson.jpg
"Lee, Tom",Lee,https://www.flsenate.gov/Senators/s20,20,Republican,"Consists of parts of Hillsborough, Pasco, Polk counties",Lee.jpg
"Mayfield, Debbie",Mayfield,https://www.flsenate.gov/Senators/s17,17,Republican,Consists of Indian River county and part of Brevard county,Mayfield.jpg
"Montford, Bill",Montford,https://www.flsenate.gov/Senators/s3,3,Democrat,"Consists of Calhoun, Franklin, Gadsden, Gulf, Hamilton, Jefferson, Leon, Liberty, Madison, Taylor, Wakulla counties",Montford.jpg
"Passidomo, Kathleen",Passidomo,https://www.flsenate.gov/Senators/s28,28,Republican,"Consists of Collier, Hendry counties and part of Lee county",Passidomo.jpg
"Perry, Keith",Perry,https://www.flsenate.gov/Senators/s8,8,Republican,"Consists of Alachua, Putnam counties and part of Marion county",Perry.jpg
"Pizzo, Jason W. B.",Pizzo,https://www.flsenate.gov/Senators/s38,38,Democrat,Consists of part of Miami-Dade county,Pizzo.jpg
"Powell, Bobby",Powell,https://www.flsenate.gov/Senators/s30,30,Democrat,Consists of part of Palm Beach county,Powell.jpg
"Rader, Kevin J.",Rader,https://www.flsenate.gov/Senators/s29,29,Democrat,"Consists of parts of Broward, Palm Beach counties",Rader.jpg
"Rodriguez, Jose Javier",Rodriguez,https://www.flsenate.gov/Senators/s37,37,Democrat,Consists of part of Miami-Dade county,Rodriguez.jpg
"Rouson, Darryl Ervin",Rouson,https://www.flsenate.gov/Senators/s19,19,Democrat,"Consists of parts of Hillsborough, Pinellas counties",Rouson.jpg
"Simmons, David",Simmons,https://www.flsenate.gov/Senators/s9,9,Republican,Consists of Seminole county and part of Volusia county,Simmons.jpg
"Simpson, Wilton",Simpson,https://www.flsenate.gov/Senators/s10,10,Republican,"Consists of Citrus, Hernando counties and part of Pasco county",Simpson.jpg
"Stargel, Kelli",Stargel,https://www.flsenate.gov/Senators/s22,22,Republican,"Consists of parts of Lake, Polk counties",Stargel.jpg
"Stewart, Linda",Stewart,https://www.flsenate.gov/Senators/s13,13,Democrat,Consists of part of Orange county,Stewart.jpg
"Taddeo, Annette",Taddeo,https://www.flsenate.gov/Senators/s40,40,Democrat,Consists of part of Miami-Dade county,Taddeo.jpg
"Thurston, Perry E. , Jr.",Thurston,https://www.flsenate.gov/Senators/s33,33,Democrat,Consists of part of Broward county,Thurston.jpg
"Torres, Victor M. , Jr.",Torres,https://www.flsenate.gov/Senators/s15,15,Democrat,Consists of Osceola county and part of Orange county,Torres.jpg
"Wright, Tom A.",Wright,https://www.flsenate.gov/Senators/s14,14,Republican,"Consists of parts of Brevard, Volusia counties",Wright.jpg
